LAT,LON,YEAR,MO,DY,PRECTOTCORR
18.5,71.875,2025,2,1,0
18.5,72.5,2025,2,1,0
18.5,73.125,2025,2,1,0
18.5,73.75,2025,2,1,0
18.5,74.375,2025,2,1,0
19,71.875,2025,2,1,0
19,72.5,2025,2,1,0
19,73.125,2025,2,1,0
19,73.75,2025,2,1,0
19,74.375,2025,2,1,0
19.5,71.875,2025,2,1,0
19.5,72.5,2025,2,1,0
19.5,73.125,2025,2,1,0
19.5,73.75,2025,2,1,0
19.5,74.375,2025,2,1,0
20,71.875,2025,2,1,0
20,72.5,2025,2,1,0
20,73.125,2025,2,1,0
20,73.75,2025,2,1,0
20,74.375,2025,2,1,0
18.5,71.875,2025,2,2,0
18.5,72.5,2025,2,2,0
18.5,73.125,2025,2,2,0
18.5,73.75,2025,2,2,0
18.5,74.375,2025,2,2,0
19,71.875,2025,2,2,0
19,72.5,2025,2,2,0
19,73.125,2025,2,2,0
19,73.75,2025,2,2,0
19,74.375,2025,2,2,0
19.5,71.875,2025,2,2,0
19.5,72.5,2025,2,2,0
19.5,73.125,2025,2,2,0
19.5,73.75,2025,2,2,0
19.5,74.375,2025,2,2,0
20,71.875,2025,2,2,0
20,72.5,2025,2,2,0
20,73.125,2025,2,2,0
20,73.75,2025,2,2,0
20,74.375,2025,2,2,0
18.5,71.875,2025,2,3,0
18.5,72.5,2025,2,3,0
18.5,73.125,2025,2,3,0
18.5,73.75,2025,2,3,0
18.5,74.375,2025,2,3,0
19,71.875,2025,2,3,0
19,72.5,2025,2,3,0
19,73.125,2025,2,3,0
19,73.75,2025,2,3,0
19,74.375,2025,2,3,0
19.5,71.875,2025,2,3,0
19.5,72.5,2025,2,3,0
19.5,73.125,2025,2,3,0
19.5,73.75,2025,2,3,0
19.5,74.375,2025,2,3,0
20,71.875,2025,2,3,0
20,72.5,2025,2,3,0
20,73.125,2025,2,3,0
20,73.75,2025,2,3,0
20,74.375,2025,2,3,0
18.5,71.875,2025,2,4,0
18.5,72.5,2025,2,4,0
18.5,73.125,2025,2,4,0
18.5,73.75,2025,2,4,0
18.5,74.375,2025,2,4,0
19,71.875,2025,2,4,0
