LAT,LON,YEAR,MO,DY,WS10M
18.5,71.875,2025,2,1,6.74
18.5,72.5,2025,2,1,6.53
18.5,73.125,2025,2,1,3.2
18.5,73.75,2025,2,1,2.62
18.5,74.375,2025,2,1,2.77
19,71.875,2025,2,1,6.59
19,72.5,2025,2,1,6.24
19,73.125,2025,2,1,2.88
19,73.75,2025,2,1,2.49
19,74.375,2025,2,1,2.93
19.5,71.875,2025,2,1,6.35
19.5,72.5,2025,2,1,5.99
19.5,73.125,2025,2,1,2.92
19.5,73.75,2025,2,1,2.56
19.5,74.375,2025,2,1,2.96
20,71.875,2025,2,1,5.67
20,72.5,2025,2,1,5.71
20,73.125,2025,2,1,2.89
20,73.75,2025,2,1,2.72
20,74.375,2025,2,1,3.17
18.5,71.875,2025,2,2,6.09
18.5,72.5,2025,2,2,6.28
18.5,73.125,2025,2,2,2.74
18.5,73.75,2025,2,2,2.42
18.5,74.375,2025,2,2,2.18
19,71.875,2025,2,2,5.81
19,72.5,2025,2,2,5.81
19,73.125,2025,2,2,2.59
19,73.75,2025,2,2,2.59
19,74.375,2025,2,2,2.47
19.5,71.875,2025,2,2,5.61
19.5,72.5,2025,2,2,5.35
19.5,73.125,2025,2,2,2.94
19.5,73.75,2025,2,2,2.92
19.5,74.375,2025,2,2,2.64
20,71.875,2025,2,2,5.29
20,72.5,2025,2,2,5.13
20,73.125,2025,2,2,3.06
20,73.75,2025,2,2,3.23
20,74.375,2025,2,2,2.8
18.5,71.875,2025,2,3,5.52
18.5,72.5,2025,2,3,6.02
18.5,73.125,2025,2,3,3.06
18.5,73.75,2025,2,3,2.52
18.5,74.375,2025,2,3,2.04
19,71.875,2025,2,3,5.31
19,72.5,2025,2,3,5.68
19,73.125,2025,2,3,2.69
19,73.75,2025,2,3,2.73
19,74.375,2025,2,3,2.38
19.5,71.875,2025,2,3,5.28
19.5,72.5,2025,2,3,5.29
19.5,73.125,2025,2,3,2.69
19.5,73.75,2025,2,3,3.01
19.5,74.375,2025,2,3,2.85
20,71.875,2025,2,3,5.22
20,72.5,2025,2,3,4.56
20,73.125,2025,2,3,2.61
20,73.75,2025,2,3,3.22
20,74.375,2025,2,3,3.17
18.5,71.875,2025,2,4,7.11
18.5,72.5,2025,2,4,6.94
18.5,73.125,2025,2,4,3.59
18.5,73.75,2025,2,4,2.83
18.5,74.375,2025,2,4,2.77
19,71.875,2025,2,4,6.83
19,72.5,2025,2,4,6.33
19,73.125,2025,2,4,3.19
19,73.75,2025,2,4,2.65
19,74.375,2025,2,4,2.73
19.5,71.875,2025,2,4,6.54
19.5,72.5,2025,2,4,5.66
19.5,73.125,2025,2,4,2.98
19.5,73.75,2025,2,4,2.6
19.5,74.375,2025,2,4,2.85
20,71.875,2025,2,4,5.82
20,72.5,2025,2,4,4.97
20,73.125,2025,2,4,2.66
20,73.75,2025,2,4,2.69
20,74.375,2025,2,4,3.1
18.5,71.875,2025,2,5,9.14
18.5,72.5,2025,2,5,8.55
18.5,73.125,2025,2,5,3.72
18.5,73.75,2025,2,5,2.86
18.5,74.375,2025,2,5,2.89
19,71.875,2025,2,5,9.07
19,72.5,2025,2,5,8.27
19,73.125,2025,2,5,3.45
19,73.75,2025,2,5,2.85
19,74.375,2025,2,5,2.63
19.5,71.875,2025,2,5,8.91
